漢字,異体字
滅,灭
憂,㥑
誘,䛻
誘,诱
擁,拥
擁,㨣
揚,敭
揚,扬
裸,躶
裸,𧝹
濫,滥
陵,琌
陵,䧙
糧,粮
零,霗
漏,屚
尉,叞
尉,㷉
韻,韵
姻,婣
猿,猨
渦,涡
蚊,蚉
蚊,蟁
蚊,螡
涯,漄
嚇,吓
潟,澙
款,欵
款,㱁
款,歀
閑,闲
頑,顽
擬,拟
宜,冝
宜,宐
宜,㝖
窮,竆
窮,穷
享,亯
矯,矫
恭,㳟
恭,𢙄
恭,𢚈
琴,珡
琴,琹
琴,䥅
琴,䥆
琴,䦦
襟,䘳
吟,訡
吟,噖
慶,庆
懸,悬
洪,潂
貢,贡
侯,矦
剛,㓻
剛,𡬺
剛,刚
昆,㒭
懇,恳
詐,诈
栽,㘽
崎,嵜
崎,㟢
崎,﨑
索,䌇
傘,仐
傘,伞
賜,赐
嗣,孠
肢,胑
璽,壐
璽,玺
蛇,虵
儒,㐵
酬,酧
酬,醻
銃,铳
淑,㳤
俊,㑓
庶,庻
升,㚈
償,偿
粧,糚
訟,䛦
訟,讼
詔,诏
娠,㛛
紳,绅
診,诊
帥,帅
崇,崈
杉,檆
畝,畆
畝,畒
畝,畞
畝,㽗
畝,畮
畝,𤰖
畝,𤰖
畝,亩
誓,䤱
析,㭊
漸,渐
疎,踈
塑,塐
藻,薻
喪,丧
喪,䘮
曹,曺
駄,馱
駄,驮
駄,䭾
惰,憜
泰,㤗
泰,𣳾
漬,渍
邸,䣌
偵,侦
貞,贞
徹,彻
搭,撘
棟,栋
軟,輭
軟,软
妊,姙
培,㟝
賠,赔
舶,艊
鉢,缽
鉢,钵
閥,阀
煩,烦
頒,颁
罷,罢
猫,貓
譜,谱
紡,纺
僕,㒒
僕,䑑
撲,擈
磨,䃺
銘,铭
窯,窰
窯,窑
羅,罗
酪,嗠
柳,桺
柳,𫞉
柳,栁
柳,桞
柳,橮
涼,凉
倫,伦
鈴,铃
賄,贿
曖,暧
嵐,岚
嵐,㞩
彙,彚
彙,汇
唄,呗
唄,㗑
怨,㤪
臆,肊
潰,溃
諧,谐
崖,崕
蓋,葢
蓋,盖
骸,䯐
柿,柹
柿,枾
顎,颚
釜,釡
玩,貦
毀,毁
畿,㙨
巾,䘜
錦,锦
熊,㷱
詣,诣
隙,隟
鍵,键
虎,乕
虎,虝
錮,锢
喉,㗋
駒,驹
頃,顷
柵,栅
刹,剎
斬,斩
摯,挚
鹿,𢈘
腫,肿
呪,咒
蹴,蹵
尻,㞍
腎,肾
須,须
箋,䇳
箋,笺
膳,饍
堆,垖
誰,谁
綻,绽
貼,贴
鶴,鶴
鶴,鸖
鶴,䳽
鶴,鹤
諦,谛
妬,妒
藤,䕨
栃,杤
頓,顿
貪,贪
那,㑚
梨,棃
梨,梸
鍋,锅
罵,駡
罵,骂
斑,辬
眉,睂
膝,厀
阜,峊
訃,讣
蔑,薎
蜂,蠭
蜂,䗬
貌,皃
貌,䫉
貌,㒵
勃,㔜
冥,㝠
冥,䆩
瘍,疡
辣,辢
藍,蓝
侶,侣
瑠,璢
呂,吕
賂,赂
弄,挊
弄,挵
弄,㺯
籠,篭
籠,笼
麓,㯟
脇,䏮
脇,𦚰
思,恖
貿,贸
窪,漥
鞍,鞌
謂,谓
鮪,鲔
允,㽙
寅,㝙
胤,㣧
蔭,䕃
蔭,𦹥
蔭,荫
蔭,𨼲
鸚,䨉
鸚,鹦
烏,乌
廻,廽
廻,𢌞
叡,睿
叡,壡
叡,㲊
嬰,婴
嬰,孆
曳,曵
盈,盁
厭,厌
堰,隁
燕,鷰
燕,䴏
燕,㷼
薗,園
鳶,鸢
於,扵
鴨,鸭
鴦,鸯
鷹,鹰
蝦,虾
臥,卧
蛾,䖸
駕,驾
凱,凯
鎧,铠
鮭,鲑
亥,㐪
碍,礙
苅,刈
塙,墧
鍔,锷
鰐,鱷
鰐,鳄
樫,㭴
侃,偘
姦,姧
舘,館
舘,館
舘,馆
莞,萖
萱,萲
萱,蕿
萱,藼
萱,蘐
贋,贗
贋,赝
其,亓
毅,䝘
磯,矶
窺,窥
鰭,鳍
蟻,蚁
誼,竩
誼,谊
鞠,䪕
桔,㮮
玖,㺵
鳩,鸠
鋸,锯
僑,侨
劫,刧
劫,刦
劫,刼
匡,匩
喬,𠳮
蕎,荞
旭,旮
欣,惞
欽,钦
芹,䓅
垢,坸
狗,㺃
駈,駆
駈,驅
駈,驱
寓,庽
馴,驯
畦,㽯
戟,㦸
訣,诀
頁,页
牽,牵
牽,撁
硯,砚
絢,绚
鰹,鲣
彦,彥
鈷,钴
昂,昻
浩,澔
浩,㵆
浩,㬶
糠,粇
紘,綋
紘,纮
縞,缟
肴,餚
肱,厷
藁,藳
鮫,鲛
鴻,䲨
鴻,鸿
轟,軣
轟,轰
坤,堃
昏,昬
梱,棞
艮,㫔
紗,纱
蓑,簑
蓑,簔
坐,㘴
坐,㘸
哉,㦲
晒,曬
燦,灿
餐,湌
餐,飡
之,㞢
匙,㔭
弛,㢮
梓,榟
獅,狮
蒔,莳
錫,锡
錫,㒪
髭,頾
爾,尓
爾,尒
