漢字,辞典,検字番号
立,日本語漢字辞典,8400
立,新大字典,11544
立,大字源,6951
立,大漢語林,8153
林,大漢和辞典,14551
林,日本語漢字辞典,4915
林,新大字典,6814
林,大字源,4096
林,大漢語林,4987
六,大漢和辞典,1453
六,日本語漢字辞典,697
六,新大字典,901
六,大字源,552
六,大漢語林,701
引,大漢和辞典,9699
引,日本語漢字辞典,3240
引,新大字典,4523
引,大字源,2594
引,大漢語林,3136
羽,大漢和辞典,28614
羽,大漢和辞典,28614
羽,日本語漢字辞典,9330
羽,日本語漢字辞典,9331
羽,日本語漢字辞典,9332
羽,新大字典,12768
羽,新大字典,12769
羽,大字源,7690
羽,大字源,7691
羽,大字源,7692
羽,大漢語林,9008
羽,大漢語林,9009
雲,大漢和辞典,42235
雲,日本語漢字辞典,13869
雲,新大字典,18563
雲,大字源,11002
雲,大漢語林,12601
遠,大漢和辞典,39047
遠,大漢和辞典,39047
遠,日本語漢字辞典,12886
遠,日本語漢字辞典,12887
遠,新大字典,17252
遠,新大字典,17253
遠,大字源,10233
遠,大字源,10234
遠,大漢語林,11623
遠,大漢語林,11624
園,大漢和辞典,4818
園,日本語漢字辞典,1824
園,新大字典,2498
園,大字源,1481
園,大漢語林,1765
家,大漢和辞典,7169
家,日本語漢字辞典,2568
家,日本語漢字辞典,2569
家,新大字典,3500
家,大字源,2071
家,大漢語林,2518
何,大漢和辞典,511
何,日本語漢字辞典,263
何,新大字典,403
何,大字源,185
何,大漢語林,236
夏,大漢和辞典,5720
夏,日本語漢字辞典,2156
夏,新大字典,2904
夏,新大字典,2906
夏,大字源,1735
夏,大字源,1736
夏,大漢語林,2100
夏,大漢語林,2101
科,大漢和辞典,24950
科,日本語漢字辞典,8189
科,新大字典,11318
科,大字源,6791
科,大漢語林,7961
歌,大漢和辞典,16167
歌,日本語漢字辞典,5657
歌,新大字典,7788
歌,大字源,4637
歌,大漢語林,5610
画,大漢和辞典,21739
画,大漢和辞典,21739
画,日本語漢字辞典,7344
画,日本語漢字辞典,7348
画,新大字典,10143
画,大字源,6055
画,大字源,6056
画,大漢語林,817
画,大漢語林,819
会,大漢和辞典,460
会,日本語漢字辞典,229
会,新大字典,333
会,大字源,3984
会,大漢語林,198
回,大漢和辞典,4690
回,日本語漢字辞典,1787
回,新大字典,2456
回,大字源,1449
回,大漢語林,1723
海,大漢和辞典,17450
海,大漢和辞典,17503
海,日本語漢字辞典,5962
海,日本語漢字辞典,5963
海,新大字典,8355
海,新大字典,8442
海,大字源,4922
海,大字源,4962
海,大漢語林,5921
海,大漢語林,5922
絵,大漢和辞典,27464
絵,日本語漢字辞典,8928
絵,新大字典,12181
絵,大字源,7340
絵,大漢語林,8629
外,大漢和辞典,5750
外,日本語漢字辞典,2164
外,新大字典,2918
外,大字源,931
外,大漢語林,2108
角,大漢和辞典,35003
角,日本語漢字辞典,11799
角,日本語漢字辞典,11800
角,新大字典,15540
角,新大字典,15541
角,大字源,9214
角,大漢語林,10556
楽,大漢和辞典,15213
楽,日本語漢字辞典,5229
楽,新大字典,7175
楽,大字源,4332
楽,大漢語林,5276
活,大漢和辞典,17423
活,日本語漢字辞典,5965
活,新大字典,8400
活,大字源,4924
活,大漢語林,5923
間,大漢和辞典,41249
間,日本語漢字辞典,13608
間,新大字典,18186
間,大字源,10775
間,大漢語林,12355
顔,大漢和辞典,43591
顔,日本語漢字辞典,14174
顔,新大字典,19032
顔,大字源,11267
顔,大漢語林,12865
岩,大漢和辞典,7985
岩,日本語漢字辞典,2754
岩,新大字典,3799
岩,大字源,2230
岩,大漢語林,2719
丸,大漢和辞典,94
丸,大漢和辞典,95
丸,日本語漢字辞典,73
丸,日本語漢字辞典,74
丸,新大字典,107
丸,新大字典,109
丸,大字源,40
丸,大字源,42
丸,大漢語林,92
記,大漢和辞典,35244
記,日本語漢字辞典,11841
記,日本語漢字辞典,11842
記,新大字典,15631
記,大字源,9249
記,大漢語林,10593
汽,大漢和辞典,17177
汽,日本語漢字辞典,5852
汽,新大字典,8246
汽,大字源,4827
汽,大漢語林,5817
帰,大漢和辞典,8930
帰,日本語漢字辞典,3019
帰,日本語漢字辞典,3021
帰,新大字典,4198
帰,大字源,4675
帰,大漢語林,2948
弓,大漢和辞典,9692
弓,日本語漢字辞典,3238
弓,日本語漢字辞典,3239
弓,新大字典,4519
弓,新大字典,4520
弓,大字源,2593
弓,大漢語林,-
牛,大漢和辞典,19922
牛,日本語漢字辞典,6845
牛,新大字典,9526
牛,大字源,5638
牛,大漢語林,6696
魚,大漢和辞典,45956
魚,日本語漢字辞典,14671
魚,新大字典,19962
魚,大字源,11734
魚,大漢語林,13309
教,大漢和辞典,13213
教,日本語漢字辞典,4405
教,新大字典,6126
教,大字源,3679
教,大漢語林,4302
強,大漢和辞典,9815
強,日本語漢字辞典,3271
強,新大字典,4561
強,大字源,2617
強,大漢語林,3166
近,大漢和辞典,38752
近,大漢和辞典,38752
近,日本語漢字辞典,12726
近,日本語漢字辞典,12727
近,新大字典,17066
近,新大字典,17067
近,大字源,10096
近,大字源,10097
近,大漢語林,11477
近,大漢語林,11478
今,大漢和辞典,358
今,日本語漢字辞典,192
今,新大字典,293
今,大字源,131
今,大漢語林,158
兄,大漢和辞典,1343
兄,日本語漢字辞典,647
兄,新大字典,842
兄,大字源,511
兄,大漢語林,662
形,大漢和辞典,9969
