漢字,含む漢字
一,砭
一,砅
一,祆
一,㤗
一,恗
一,㤚
一,恓
一,恲
一,挄
一,挃
一,挏
一,拼
一,㡿
一,昰
一,昳
一,昩
一,昺
一,昞
一,昪
一,昤
一,㪅
一,胅
一,朎
一,枿
一,栅
一,柟
一,柦
一,柈
一,柃
一,桒
一,栀
一,柠
一,带
一,俓
一,俒
一,㑞
一,俦
一,㰤
一,殅
一,殂
一,亱
一,侴
一,侺
一,兘
一,卼
一,咟
一,咣
一,咧
一,咵
一,咺
一,哃
一,哙
一,垌
一,垏
一,垕
一,垙
一,垥
一,垩
一,垬
一,姛
一,姤
一,姯
一,姱
一,姴
一,姵
一,姺
一,娂
一,宪
一,尮
一,尯
一,峆
一,峌
一,峍
一,峏
一,峒
一,峘
一,峛
一,峝
一,巹
一,巺
一,帞
一,帡
一,帢
一,帣
一,庢
一,庰
一,弇
一,弈
一,弮
一,徆
一,怣
一,恎
一,挎
一,挒
一,枺
一,枾
一,柌
一,柣
一,查
一,柸
一,氟
一,泵
一,洅
一,洆
一,洉
一,洊
一,洏
一,洐
一,洡
一,洦
一,洬
一,洷
一,洹
一,洿
一,浂
一,浃
一,炟
一,炡
一,炣
一,炩
一,炻
一,爯
一,牁
一,牉
一,牱
一,狟
一,狦
一,狪
一,珃
一,盷
一,盽
一,眃
一,砃
一,砄
一,砇
一,砈
一,砊
一,砋
一,砏
一,砐
一,砓
一,秐
一,竔
一,胢
一,茪
一,荋
一,虳
一,衭
一,郀
一,陑
一,陓
一,陕
一,㐞
一,㑘
一,㓂
一,㓧
一,㕟
一,㖀
一,㖃
一,㖅
一,㖇
一,㘢
一,㘸
一,㚅
一,㛃
一,㝓
一,㞀
一,㞁
一,㡁
一,㡂
一,㡽
一,㢥
一,㢲
一,㢵
一,㢶
一,㣚
一,㣛
一,㣜
一,㤜
一,㤡
一,㤦
一,㤧
一,㤨
一,㧥
一,㧨
一,㧩
一,㧫
一,㪃
一,㪆
一,㪵
一,㪼
一,㪽
一,㫝
一,㭑
一,㭓
一,㱒
一,㱞
一,㱟
一,㱠
一,㶬
一,㶮
一,㶱
一,㸳
一,㹬
一,㹮
一,㺹
一,䀖
一,䂚
一,䂛
一,䂜
一,䂝
一,䂞
一,䃿
一,䄮
一,䎠
一,䎢
一,䏞
一,䏤
一,䏥
一,䑢
一,䙲
一,䟓
一,䢑
一,䢼
一,䢾
一,䣂
一,䧆
一,珑
一,䶮
一,昽
一,胧
一,栊
一,䴓
一,咞
一,垔
一,姘
一,汧
一,沗
一,㫠
一,㼛
一,㿼
一,䀘
一,䄯
一,䒱
一,䎟
一,䒹
一,砗
一,砚
一,砜
一,临
一,举
一,俩
一,俪
一,俭
一,贰
一,贵
一,轲
一,轶
一,剑
一,哑
一,哓
一,哟
一,垭
一,垮
一,娅
一,娆
一,尝
一,峢
一,峣
一,骈
一,巬
一,巭
一,恸
一,挜
一,挠
一,栆
一,栏
一,殇
一,氞
一,氠
一,氡
一,氢
一,沯
一,浇
一,浉
一,浍
一,烂
一,狮
一,狯
一,砖
一,砘
一,砛
一,饶
一,饸
一,饼
一,骁
一,绔
一,绕
一,绖
一,绗
一,绘
一,给
一,荛
一,荟
一,药
一,㑝
一,钘
一,钤
一,钧
一,㓫
一,览
一,诪
一,诫
一,误
一,贲
一,㛉
一,选
一,郏
一,郐
一,㫜
一,㱓
一,㸴
一,㹰
一,㺽
一,䧈
一,䥻
一,䑒
一,䶭
一,𠱰
一,𢘑
一,𠀺
一,𠡦
一,𡋗
一,𥐮
一,𤇡
一,𣧰
一,夏
一,書
一,院
一,荷
一,真
一,病
一,害
一,挙
一,差
一,残
一,借
一,倉
一,益
一,耕
一,師
一,破
一,蚕
一,従
一,恵
一,剣
一,剤
一,致
一,倒
一,胴
一,峰
一,砲
一,烈
一,倹
一,娯
一,殊
一,衰
一,匿
一,畔
一,埋
一,恭
一,剛
一,酌
一,殉
