漢字,分類
亥,方向・方位
亥,干支（十二支・十干）
赫,同じ漢字二つで構成
姦,同じ漢字三つで構成
澗,数の単位
萱,左右対称
雁,鳥の名前（漢字一文字）
其,左右対称
麒,想像上の動物
玖,大字
韮,左右対称
韭,左右対称
鳩,鳥の名前（漢字一文字）
卿,貴族・諸侯
圭,同じ漢字二つで構成
圭,左右対称
頚,身体（体の部位）
戟,武器
絢,華やか
壺,左右対称
壷,左右対称
狐,動物
伍,大字
亘,左右対称
庚,干支（十二支・十干）
蛤,動物
鮫,想像上の動物
濠,国名（略称）
轟,同じ漢字三つで構成
轟,左右対称
忽,数の単位
坤,方向・方位
坤,八卦・六十四卦
艮,方向・方位
艮,八卦・六十四卦
犀,動物
巳,方向・方位
巳,干支（十二支・十干）
錫,金属
髭,身体（体の部位）
鴫,鳥の名前（漢字一文字）
宍,左右対称
蛭,動物
灼,火・炎
鷲,鳥の名前（漢字一文字）
廿,漢数字
廿,左右対称
隼,鳥の名前（漢字一文字）
鼠,動物
昌,同じ漢字二つで構成
昌,左右対称
菖,左右対称
蛸,動物
錆,金属
鎗,武器
穣,数の単位
晋,左右対称
辰,方向・方位
辰,干支（十二支・十干）
塵,数の単位
壬,干支（十二支・十干）
雛,鳥
雛,かわいい（名付け）
廚,旧字体・新字体
宋,左右対称
槍,武器
巽,方向・方位
巽,八卦・六十四卦
呆,左右対称
丑,方向・方位
丑,干支（十二支・十干）
猪,動物
鵜,鳥の名前（漢字一文字）
兎,動物
兜,防具
鍍,金属
凪,天気・気象
莫,左右対称
捌,大字
畢,左右対称
豹,動物
斧,武器
芙,左右対称
葡,国名（略称）
糞,左右対称
鞭,武器
戊,干支（十二支・十干）
朋,同じ漢字二つで構成
萌,かわいい（名付け）
鋒,武器
鴇,鳥の名前（漢字一文字）
鵬,想像上の動物
卯,方向・方位
卯,干支（十二支・十干）
孟,はじまり・はじめて
蒙,国名（略称）
柚,かわいい（名付け）
酉,方向・方位
酉,干支（十二支・十干）
蓉,左右対称
遥,かわいい（名付け）
蘭,左右対称
蘭,国名（略称）
栗,左右対称
綾,かわいい（名付け）
麟,想像上の動物
鷺,鳥の名前（漢字一文字）
狼,動物
肋,身体（体の部位）
圀,則天文字
雜,旧字体・新字体
亶,左右対称
仟,大字
佰,大字
兌,方向・方位
兌,八卦・六十四卦
兢,同じ漢字二つで構成
冑,防具
凩,天気・気象
吝,左右対称
哥,同じ漢字二つで構成
嘴,鳥
圉,左右対称
坎,方向・方位
坎,八卦・六十四卦
垓,数の単位
埃,数の単位
埃,国名（略称）
堊,左右対称
婉,美しい
媚,艶めかしい
嬌,艶めかしい
幵,同じ漢字二つで構成
幵,左右対称
弩,武器
戈,武器
戌,方向・方位
戌,干支（十二支・十干）
戔,同じ漢字二つで構成
戛,武器
捍,防具
鳰,鳥の名前（漢字一文字）
鳧,鳥の名前（漢字一文字）
鴉,鳥の名前（漢字一文字）
鴃,鳥の名前（漢字一文字）
鵆,鳥の名前（漢字一文字）
鵲,鳥の名前（漢字一文字）
鶉,鳥の名前（漢字一文字）
鵙,鳥の名前（漢字一文字）
鶚,鳥の名前（漢字一文字）
鶲,鳥の名前（漢字一文字）
鷁,想像上の動物
鶸,鳥の名前（漢字一文字）
鷂,鳥の名前（漢字一文字）
鷭,鳥の名前（漢字一文字）
鷽,鳥の名前（漢字一文字）
鸛,鳥の名前（漢字一文字）
鸞,想像上の動物
毬,かわいい（名付け）
毳,同じ漢字三つで構成
鼈,動物
鮹,動物
鯤,想像上の動物
鯱,動物
鯱,想像上の動物
旱,左右対称
旱,天気・気象
杲,左右対称
