漢字,名乗り訓
章,き
章,たか
章,とし
章,のり
章,ふさ
章,ゆき
勝,すぐる
勝,とう
勝,のり
勝,まさ
勝,まさる
勝,ます
勝,よし
乗,あき
乗,しげ
乗,のぼる
乗,のり
進,す
進,すす
進,すすみ
進,すすむ
進,つとむ
進,のぶ
進,のぼる
進,みち
進,ゆき
申,しげる
申,のぶ
申,み
申,もち
深,とお
深,ふかし
真,さだ
真,さな
真,さね
真,ただ
真,ちか
真,なお
真,まさ
真,まな
真,み
世,つぎ
世,つぐ
世,とき
世,とし
整,おさむ
整,なり
整,のぶ
整,ひとし
整,まさ
整,よし
相,あう
相,すけ
相,たすく
相,とも
相,まさ
相,み
速,すすむ
速,ちか
速,ちかし
速,つぎ
速,とう
速,とし
速,はや
速,はやし
速,はやみ
速,はやむ
速,めす
他,ひと
代,とし
代,のり
代,より
調,しらべ
調,つぐ
定,さだむ
定,つら
定,やす
笛,ふ
鉄,きみ
鉄,とし
鉄,まがね
転,ひろ
都,いち
都,くに
都,さと
都,ひろ
都,よし
等,しな
等,たか
等,とし
等,とも
等,ひとし
登,たか
登,ちか
登,とみ
登,とも
登,なり
登,なる
登,のぼる
登,のり
登,み
登,みのる
動,いつ
童,わか
農,あつ
農,あつし
農,たか
農,たみ
農,つとむ
農,とき
農,とよ
農,みのり
農,みのる
波,ば
配,あつ
配,とも
美,きよし
美,とみ
美,はる
美,ふみ
美,みつ
美,よし
美,よしみ
部,きつ
部,もと
福,さき
福,さち
福,たる
福,とし
福,とみ
福,ね
福,むら
福,もと
福,よ
福,よし
平,たいら
平,とし
平,なり
平,ひとし
勉,かつ
勉,すすむ
勉,たけ
勉,つとむ
勉,まさる
由,ただ
由,ゆき
由,より
遊,なが
遊,ゆき
有,あり
有,たもつ
有,とも
有,みち
有,もち
有,ゆ
予,かね
予,やす
予,やすし
葉,くに
葉,のぶ
葉,ば
葉,ふさ
葉,よ
葉,わ
陽,あき
陽,あきら
陽,お
陽,おき
陽,きよ
陽,たか
陽,たかし
陽,なか
陽,のぼる
陽,はる
陽,ひかる
陽,や
洋,きよ
洋,なみ
洋,ひろ
洋,ひろし
洋,み
旅,たか
両,ふた
両,ふる
緑,つか
緑,つな
緑,のり
流,しく
流,とも
流,はる
礼,あき
礼,あきら
礼,あや
礼,うや
礼,かた
礼,なり
礼,ひろ
礼,ひろし
礼,まさ
礼,まさし
礼,みち
礼,ゆき
礼,よし
礼,れ
練,いさ
練,いさむ
練,ねり
練,よし
路,のり
路,ゆき
路,ゆく
和,あい
和,かず
和,たか
和,ちか
和,とも
和,なごみ
和,のどか
和,やまと
愛,あ
愛,え
愛,さね
愛,ちか
愛,なり
愛,なる
愛,のり
愛,まなみ
愛,めぐむ
愛,よし
愛,より
以,これ
以,さね
以,しげ
以,とも
以,のり
以,もち
以,ゆき
以,より
位,くら
位,たか
位,ただ
位,ただし
位,なり
位,のり
位,ひこ
衣,そ
衣,みそ
英,あきら
英,あや
英,すぐる
英,たけし
英,つね
英,てる
英,とし
英,ひで
英,ひでる
英,ひら
英,ふさ
英,ぶさ
英,よし
栄,え
栄,さかえ
栄,しげ
栄,たか
栄,はる
栄,ひで
栄,よし
億,かず
億,はかる
億,やす
億,やすし
加,ます
加,また
果,あきら
果,はた
果,まさる
芽,めい
覚,あき
覚,あきら
覚,さだ
覚,さとる
覚,よし
完,たもつ
完,ひろ
完,ひろし
完,ゆたか
観,あき
観,あきら
喜,このむ
喜,たのし
喜,とし
喜,のぶ
喜,はる
喜,ひさ
喜,ゆき
喜,よし
季,とき
季,とし
季,ひで
季,みのる
旗,たか
紀,あき
紀,かず
紀,つぐ
紀,とし
紀,はじめ
紀,もと
紀,よし
希,のぞみ
希,のぞむ
議,かた
議,さだむ
議,のり
求,き
求,く
求,ひで
求,まさ
求,め
求,もと
求,もとむ
挙,しげ
挙,すすむ
挙,たか
挙,たつ
挙,ひら
挙,みな
協,かのう
協,やす
鏡,あき
鏡,あきら
鏡,かね
鏡,とし
鏡,み
競,きそう
競,つよし
共,たか
極,なか
極,のり
極,みち
訓,くに
訓,さとし
訓,さとす
訓,さとる
訓,しる
訓,とき
訓,のり
訓,みち
径,わたる
景,あきら
景,かげ
景,ひろ
芸,き
芸,ぎ
芸,のり
芸,まさ
芸,よし
結,かた
結,ひとし
結,むすぶ
結,ゆい
結,ゆう
建,たけ
建,たけし
建,たける
建,たつ
建,たつる
建,たて
健,かつ
健,たけし
健,つよ
健,つよし
健,とし
健,やす
功,あう
功,あつ
功,いさ
功,いさおし
功,かた
功,かつ
功,こと
功,たか
功,つとむ
功,つとめ
功,なり
功,なる
功,のり
好,このみ
好,すみ
好,たか
好,み
好,よし
航,かず
航,つら
航,わたる
康,しず
康,しずか
康,みち
康,やすし
康,よし
刷,きよ
参,み
産,ただ
産,むすび
史,さかん
史,じ
史,ちか
史,ちかし
史,ひと
史,ふの
史,ふひと
史,み
試,もち
士,あき
士,あきら
士,お
士,おさむ
士,こと
士,さち
士,ただ
士,つかさ
士,と
士,のり
士,ひと
士,まもる
司,おさむ
司,かず
司,じ
司,つとむ
司,もと
司,もり
治,おさむ
治,さだ
治,ず
治,ただす
治,つぐ
治,とお
治,のぶ
治,はる
治,よし
児,のり
児,はじめ
児,る
周,いたる
周,かた
周,かね
周,ただ
周,ちか
周,なり
周,のり
周,ひろし
周,まこと
周,めぐる
祝,い
祝,とき
祝,のり
祝,はじめ
祝,ほう
祝,ほぎ
祝,よし
順,あや
順,あり
順,おさむ
順,かず
順,しげ
順,とし
順,なお
順,のぶ
順,のり
順,はじめ
順,まさ
順,みち
順,むね
順,もと
順,やさし
順,やす
順,ゆき
順,よし
順,より
初,はじめ
初,もと
笑,え
笑,えみ
笑,ふさ
松,ときわ
賞,あき
賞,あきら
賞,すすむ
賞,たか
賞,たかし
賞,ほむ
賞,よし
照,あき
照,あきら
照,あり
照,てり
照,てる
照,とし
照,のぶ
照,みつ
省,あきら
省,かみ
省,み
省,よし
信,あき
信,こと
信,さだ
信,し
信,しの
信,ただ
信,ちか
信,とき
信,のぶ
信,みち
臣,お
臣,おん
臣,きみ
臣,きん
臣,しげ
臣,たか
臣,とみ
臣,み
清,きよ
清,きよし
清,すが
清,すみ
清,すむ
静,きよ
静,きよし
静,しずか
静,ちか
静,やす
静,やすし
静,よし
成,あき
成,あきら
成,しげ
成,しげる
成,なり
成,ひで
成,よし
積,あつ
積,かず
積,かつ
積,さ
積,さね
積,つね
積,つみ
積,もち
積,もり
節,たか
節,たかし
節,のり
節,よし
卒,たか
達,いたる
達,さと
達,さとし
達,さとる
達,すすむ
達,ただ
達,たて
達,とお
達,とおる
達,のぶ
達,ひろ
達,みち
達,よし
単,いち
単,ただ
仲,あたる
仲,つづき
仲,なかし
仲,のぶ
停,とどむ
典,おき
典,すけ
典,つね
典,みち
典,よし
典,より
努,つとむ
堂,たか
然,しか
然,ぜ
然,なり
然,ね
然,のり
梅,め
博,とおる
博,はか
博,ひろし
博,ひろむ
飛,たか
付,とも
夫,あき
夫,お
夫,すけ
副,すえ
副,すけ
副,つぎ
副,ます
兵,たけ
兵,ひと
兵,むね
別,のぶ
別,わき
法,かず
法,つね
法,はかる
包,かた
包,かつ
包,かぬ
包,かね
包,しげ
望,のぞみ
望,のぞむ
望,み
満,あり
満,ま
満,ます
満,まろ
満,みち
満,みつ
満,みつる
未,いま
未,いや
未,ひで
民,た
民,ひと
民,み
民,もと
勇,いさ
勇,いさお
勇,いさまし
勇,いさむ
勇,お
勇,さ
勇,そよ
勇,たけ
勇,たけし
勇,とし
勇,はや
勇,よ
要,しの
要,とし
要,め
要,もとむ
要,やす
養,おさ
養,かい
養,きよ
養,のぶ
養,まもる
養,やず
養,よし
利,かが
利,かず
利,さと
利,と
利,とおる
利,とし
利,のり
利,まさ
利,みち
利,みのる
利,よし
利,より
陸,あつ
陸,あつし
陸,たか
陸,たかし
陸,みち
陸,む
陸,むつ
良,あきら
良,お
良,かず
良,かた
良,さね
良,すけ
良,たか
良,つか
良,つかさ
良,つぎ
良,なおし
良,なか
良,なが
良,ながし
良,はる
良,ひこ
良,ひさ
良,ふみ
良,まこと
良,み
類,とも
類,なお
類,なし
類,より
令,なり
令,のり
令,はる
令,よし
令,れ
冷,すずし
連,つぎ
連,まさ
連,やす
連,れ
録,とし
録,ふみ
永,え
永,つね
永,な
永,なが
永,のぶ
永,のり
永,はるか
永,ひさ
永,ひさし
衛,え
衛,ひろ
衛,ひろし
衛,まさ
衛,まさる
衛,まもる
衛,もり
衛,よし
益,あり
益,すすむ
益,のり
益,まし
益,みつる
益,やす
益,よし
桜,お
桜,さ
応,お
恩,おき
恩,めぐみ
可,あり
可,とき
可,よし
可,より
賀,しげ
賀,のり
賀,ます
賀,よし
賀,より
快,はや
快,やす
快,よし
格,ただし
格,のり
格,まさ
幹,き
幹,たかし
幹,とも
幹,まさ
幹,み
幹,もと
幹,もとき
幹,よし
規,いさむ
規,さだむ
規,さだめ
規,ただ
規,ただし
規,ちか
規,なり
規,はかる
規,み
規,もと
規,よし
基,のり
基,はじむ
基,はじめ
義,あき
義,いさ
義,しげ
義,ただし
義,ちか
義,つとむ
義,とも
義,のり
義,みち
義,よし
義,より
久,ぐ
久,なが
久,ひこ
久,ひさ
久,ひさし
許,すすむ
許,ゆく
均,お
均,ただ
均,なお
均,なり
均,ひとし
均,ひら
均,まさ
群,とも
群,もと
経,おさむ
経,つね
経,のぶ
経,のり
潔,きよ
潔,きよし
潔,ゆき
潔,よし
現,あき
現,あきら
現,あり
現,み
護,さね
護,まもる
護,もり
鉱,かね
鉱,ひろ
鉱,ひろし
耕,おさむ
耕,つとむ
耕,やす
厚,あつ
厚,あつし
厚,ひろ
厚,ひろし
興,おき
興,き
興,とも
興,ふさ
在,あき
在,あきら
在,あり
在,ある
在,すみ
在,たみ
在,とお
在,みつる
雑,かず
雑,とも
賛,あきら
賛,すけ
賛,すすむ
賛,たすく
賛,よし
資,かね
資,すけ
資,たか
資,たかし
資,たすく
資,たすけ
資,ただ
資,ただし
資,つぎ
資,つぐ
資,とし
資,はかる
資,やす
資,よし
資,より
志,さね
志,むね
志,もと
志,ゆき
枝,え
枝,き
枝,しげ
枝,しな
示,しめ
示,とき
示,み
識,さと
識,さとし
識,さとる
識,つね
識,のり
修,あつむ
修,おさ
修,おさむ
修,とも
修,なお
修,のぶ
修,のり
修,まさ
修,みち
修,やす
修,よし
述,あきら
述,とも
述,のぶ
述,のぶる
述,のり
準,たいら
準,とし
準,ならう
準,のり
準,ひとし
承,じょう
承,すけ
常,とき
常,ときわ
常,のぶ
常,ひさ
織,おり
織,り
政,おさ
政,きよ
政,ただ
政,のぶ
政,まさ
勢,せ
勢,なり
税,おさむ
税,ちから
績,なり
績,のり
素,しろし
素,すなお
素,はじめ
総,おさ
総,さ
総,そ
総,のぶ
総,みち
造,いたる
造,なり
造,はじめ
則,つね
則,とき
則,みつ
測,ひろ
測,ひろし
退,のく
張,つよ
張,とも
張,はる
程,しな
程,たけ
程,みな
統,おさ
統,おさむ
統,かね
統,すみ
統,すめる
統,つづき
統,つな
統,つね
統,のり
統,むね
統,もと
銅,かね
導,みち
徳,あつ
徳,あつし
徳,さと
徳,ただし
徳,なり
徳,なる
徳,のり
徳,めぐ
徳,よし
任,あたる
任,たか
任,たかし
任,ただ
任,たもつ
任,と
任,のり
任,ひで
任,まかし
能,たか
能,ちから
能,とう
能,の
能,のり
能,ひさ
能,よし
肥,うま
肥,くま
肥,とし
肥,とみ
肥,とも
肥,ふとる
肥,みつ
肥,ゆたか
比,い
比,これ
比,たすく
比,とも
比,なみ
比,ひさ
富,さかえ
富,とよ
富,ふく
富,みつる
富,ゆたか
富,よし
布,う
布,しき
布,しく
布,たえ
布,のぶ
布,よし
武,いさ
武,いさむ
武,たけ
武,たけし
武,たける
