㵎,音,ケン,NULL,NULL,NULL
㵎,訓,たに,NULL,NULL,NULL
㵎,訓,たにみず,NULL,NULL,NULL
荆,音,ケイ,NULL,NULL,NULL
荆,訓,いばら,NULL,NULL,NULL
荆,訓,むち,NULL,NULL,NULL
帀,音,ソウ,NULL,NULL,NULL
帀,訓,めぐ,る,NULL,NULL
毗,音,ヒ,NULL,NULL,NULL
毗,音,ビ,NULL,NULL,NULL
毗,訓,たす,ける,NULL,NULL
蝱,音,ボウ,NULL,NULL,NULL
蝱,音,モウ,NULL,NULL,NULL
蝱,訓,あぶ,NULL,NULL,NULL
盌,音,ワン,NULL,NULL,NULL
麵,音,ベン,NULL,NULL,NULL
麵,音,メン,NULL,NULL,NULL
麵,訓,むぎこ,NULL,NULL,NULL
俞,音,ユ,NULL,１番,表内読み
俞,訓,いよいよ,NULL,NULL,NULL
俞,訓,しか,り,NULL,NULL
麇,音,キン,NULL,１番,表内読み
麇,音,クン,NULL,２番,表内読み
麇,訓,くじか,NULL,NULL,NULL
麇,訓,のろ,NULL,NULL,NULL
麇,訓,むら,がる,NULL,NULL
劄,音,サツ,NULL,２番,表内読み
劄,音,トウ,NULL,１番,表内読み
劄,訓,さ,す,NULL,NULL
劄,訓,しる,す,NULL,NULL
劄,訓,もうしぶみ,NULL,NULL,NULL
沪,音,リョ,NULL,NULL,NULL
沪,音,ロ,NULL,NULL,NULL
沪,訓,こ,す,NULL,NULL
躃,音,ヘキ,NULL,NULL,NULL
躃,訓,いざ,る,NULL,NULL
榆,音,ユ,NULL,NULL,NULL
榆,訓,にれ,NULL,NULL,NULL
蜋,音,ロウ,NULL,NULL,NULL
晳,音,セキ,NULL,NULL,NULL
晳,訓,あき,らか,NULL,NULL
晣,音,セイ,NULL,NULL,NULL
晣,音,セツ,NULL,NULL,NULL
晣,訓,あき,らか,NULL,NULL
晣,訓,かしこ,い,NULL,NULL
鴂,音,ゲキ,NULL,２番,表内読み
鴂,音,ケツ,NULL,１番,表内読み
鴂,訓,もず,NULL,NULL,NULL
捓,音,ヤ,NULL,NULL,NULL
捓,訓,からか,う,NULL,NULL
卹,音,シュツ,NULL,NULL,NULL
卹,音,ジュツ,NULL,NULL,NULL
卹,訓,あわ,れむ,NULL,NULL
卹,訓,うれ,える,NULL,NULL
卹,訓,めぐ,む,NULL,NULL
悤,音,ソウ,NULL,NULL,NULL
悤,訓,あわ,てる,NULL,NULL
悤,訓,いそ,ぐ,NULL,NULL
埳,音,カン,NULL,NULL,NULL
埳,訓,あな,NULL,NULL,NULL
删,音,サン,NULL,NULL,NULL
删,訓,えら,ぶ,NULL,NULL
删,訓,けず,る,NULL,NULL
黅,音,キン,NULL,NULL,NULL
黆,音,コウ,NULL,NULL,NULL
黇,音,テン,NULL,NULL,NULL
黈,音,トウ,NULL,NULL,NULL
黋,音,コウ,NULL,NULL,NULL
黕,音,タン,NULL,NULL,NULL
黕,音,チン,NULL,NULL,NULL
黚,音,ケン,NULL,NULL,NULL
黱,音,タイ,NULL,NULL,NULL
黱,訓,かきまゆ,NULL,NULL,NULL
黱,訓,まゆ,NULL,NULL,NULL
黱,訓,まゆずみ,NULL,NULL,NULL
黟,音,イ,NULL,１番,表内読み
黟,音,エイ,NULL,２番,表内読み
黣,音,バイ,NULL,NULL,NULL
黤,音,アン,NULL,NULL,NULL
黤,音,エン,NULL,NULL,NULL
黦,音,エツ,NULL,NULL,NULL
黦,音,オチ,NULL,NULL,NULL
䵟,音,カン,NULL,NULL,NULL
黧,音,ライ,NULL,NULL,NULL
黧,音,リ,NULL,NULL,NULL
黧,音,レイ,NULL,NULL,NULL
黧,訓,つじ,む,NULL,NULL
黭,音,アン,NULL,NULL,NULL
黬,音,カン,NULL,１番,表内読み
黬,音,ガン,NULL,２番,表内読み
黮,音,タン,NULL,１番,表内読み
黮,音,シン,NULL,３番,表内読み
黰,音,シン,NULL,NULL,NULL
黳,音,エイ,NULL,NULL,NULL
黵,音,セン,NULL,NULL,NULL
黵,音,タン,NULL,NULL,NULL
黸,音,ロ,NULL,NULL,NULL
黿,音,ゲン,NULL,NULL,NULL
黿,訓,おおがめ,NULL,NULL,NULL
鼂,音,チョウ,NULL,１番,表内読み
鼃,音,ア,NULL,NULL,NULL
鼃,音,カイ,NULL,NULL,NULL
鼃,音,ワイ,NULL,NULL,NULL
鼃,訓,かえる,NULL,NULL,NULL
䵷,音,ア,NULL,NULL,NULL
䵷,音,カイ,NULL,NULL,NULL
䵷,音,ワイ,NULL,NULL,NULL
䵷,訓,かえる,NULL,NULL,NULL
鼅,音,チ,NULL,NULL,NULL
䵹,音,チ,NULL,NULL,NULL
鼉,音,タ,NULL,NULL,NULL
龞,音,ヘツ,NULL,NULL,NULL
龞,音,ベツ,NULL,NULL,NULL
龞,訓,すっぽん,NULL,NULL,NULL
鱉,音,ヘツ,NULL,NULL,NULL
鱉,音,ベツ,NULL,NULL,NULL
鱉,訓,すっぽん,NULL,NULL,NULL
鼑,音,テイ,NULL,NULL,NULL
鼑,訓,かなえ,NULL,NULL,NULL
鼑,訓,まさ,に,NULL,NULL
鼐,音,ダイ,NULL,NULL,NULL
鼏,音,ベキ,NULL,NULL,NULL
鼒,音,サイ,NULL,NULL,NULL
鼒,音,シ,NULL,NULL,NULL
䵻,音,セイ,NULL,NULL,NULL
鼗,音,トウ,NULL,NULL,NULL
鼗,訓,ふりつづみ,NULL,NULL,NULL
鼖,音,フン,NULL,NULL,NULL
鼖,訓,おおつづみ,NULL,NULL,NULL
䩿,音,フン,NULL,NULL,NULL
䩿,訓,おおつづみ,NULL,NULL,NULL
鼛,音,コウ,NULL,NULL,NULL
鼚,音,チョウ,NULL,NULL,NULL
鼙,音,ヘイ,NULL,NULL,NULL
鼙,訓,こつづみ,NULL,NULL,NULL
鼙,訓,せめつづみ,NULL,NULL,NULL
鼟,音,トウ,NULL,NULL,NULL
丂,音,コウ,NULL,NULL,NULL
丅,音,カ,NULL,NULL,NULL
丅,音,ゲ,NULL,NULL,NULL
丅,訓,お,りる,NULL,NULL
丅,訓,お,ろす,NULL,NULL
丅,訓,くだ,さる,NULL,NULL
丅,訓,くだ,す,NULL,NULL
丅,訓,くだ,る,NULL,NULL
丅,訓,さ,がる,NULL,NULL
丅,訓,さ,げる,NULL,NULL
